Feature,Importance
CNT_FAM_MEMBERS,0.2465993123177432
OWN_CAR_AGE,0.16240653961469725
EXT_SOURCE_2,0.14084262419077892
OBS_30_CNT_SOCIAL_CIRCLE,0.07389614449627346
FLAG_PHONE,0.04795895479543824
FLAG_OWN_CAR,0.04504165576874999
OBS_60_CNT_SOCIAL_CIRCLE,0.027333309738370806
EXT_SOURCE_1,0.022268281907283284
DAYS_BIRTH,0.014220155699862807
DAYS_LAST_PHONE_CHANGE,0.013726132221068983
DAYS_EMPLOYED,0.01322824569371397
DAYS_ID_PUBLISH,0.013212661015727519
AMT_ANNUITY,0.013205038786955241
DEF_60_CNT_SOCIAL_CIRCLE,0.012780479423298574
REGION_POPULATION_RELATIVE,0.011272312416090398
AMT_INCOME_TOTAL,0.011146808296861304
AMT_GOODS_PRICE,0.011074963446345667
DAYS_REGISTRATION,0.010620006221855197
NAME_TYPE_SUITE,0.009307708927385756
AMT_CREDIT,0.009187907606719108
OCCUPATION_TYPE,0.008877859635578661
FLAG_OWN_REALTY,0.008625893761037035
WEEKDAY_APPR_PROCESS_START,0.008487937868721504
ORGANIZATION_TYPE,0.007789326860411
HOUR_APPR_PROCESS_START,0.0061587817507871585
DEF_30_CNT_SOCIAL_CIRCLE,0.006126843487905352
NAME_INCOME_TYPE,0.005930966740792828
REGION_RATING_CLIENT,0.005719337656799387
FLAG_DOCUMENT_3,0.004647060176641333
REG_CITY_NOT_WORK_CITY,0.004182596766628757
NAME_EDUCATION_TYPE,0.004152344311365451
NAME_CONTRACT_TYPE,0.004017121946956662
NAME_FAMILY_STATUS,0.0038077418020800355
NAME_HOUSING_TYPE,0.002486740120100782
FLAG_DOCUMENT_8,0.0018242368085258343
LIVE_CITY_NOT_WORK_CITY,0.0014365677889725866
CNT_CHILDREN,0.0014261462473782653
FLAG_DOCUMENT_6,0.001222842793002054
EXT_SOURCE_3,0.0011184268900185338
REGION_RATING_CLIENT_W_CITY,0.0008777573310507047
CODE_GENDER,0.0007081075614254541
FLAG_EMAIL,0.0004412591362260247
LIVE_REGION_NOT_WORK_REGION,0.00038839962454889035
FLAG_WORK_PHONE,0.00021646034782621244
