Feature,Importance,Std
CNT_FAM_MEMBERS,0.12490408854082174,0.002885401184262281
FLAG_OWN_CAR,0.11222172391389161,0.002196716161564271
OWN_CAR_AGE,0.10517917969630643,0.0023370770946490207
EXT_SOURCE_2,0.05209127444643268,0.001458853616266263
OBS_30_CNT_SOCIAL_CIRCLE,0.047217262432127316,0.0011524893736835555
OBS_60_CNT_SOCIAL_CIRCLE,0.024940592329712064,0.0011204038263474723
FLAG_PHONE,0.021647225154671063,0.0016256624343776445
EXT_SOURCE_1,0.011376595480950706,0.0013031254797267779
DEF_60_CNT_SOCIAL_CIRCLE,0.007018475675648676,0.0007132264090305325
OCCUPATION_TYPE,0.005808758580012566,0.0007045724022217314
FLAG_OWN_REALTY,0.005547078490633213,0.0008583024384234616
AMT_INCOME_TOTAL,0.005302494786064371,0.0005994288061590376
DAYS_EMPLOYED,0.005263640878586639,0.0005999104177205573
NAME_INCOME_TYPE,0.004627618926399261,0.0005376941160588598
AMT_CREDIT,0.004586826691024674,0.0004645883658275558
REGION_RATING_CLIENT,0.004240138028911885,0.0005853449903753717
DAYS_BIRTH,0.004080573711781447,0.0006760997184592584
FLAG_DOCUMENT_3,0.003939863584974882,0.00045999491613558214
ORGANIZATION_TYPE,0.003896732045717936,0.0005270137708723249
DAYS_ID_PUBLISH,0.0036842929720223737,0.0004779198993266109
NAME_TYPE_SUITE,0.003665721627829388,0.00042179748027408744
AMT_ANNUITY,0.0036123177826194413,0.0004859417064128894
WEEKDAY_APPR_PROCESS_START,0.0034952344586449396,0.0004130648941174214
NAME_CONTRACT_TYPE,0.0032312982554216995,0.0004180324355866294
DEF_30_CNT_SOCIAL_CIRCLE,0.002747771130893706,0.00045460209640947667
REGION_POPULATION_RELATIVE,0.002638485209227115,0.0005519971470678925
DAYS_REGISTRATION,0.002636953680618448,0.0005610404942105832
FLAG_DOCUMENT_6,0.0025964484508766467,0.00021114945421379098
DAYS_LAST_PHONE_CHANGE,0.002555465710313983,0.0005273420522106117
NAME_FAMILY_STATUS,0.00229664902205949,0.00039247748055906066
AMT_GOODS_PRICE,0.0022516573535418397,0.00052136276987103
HOUR_APPR_PROCESS_START,0.001277008685871913,0.0005356457148361882
FLAG_DOCUMENT_8,0.0012201274970529807,0.00020512533730094066
REGION_RATING_CLIENT_W_CITY,0.00118029943422453,0.0001321574903622089
REG_CITY_NOT_WORK_CITY,0.0011509999026676266,0.0004891110945199042
LIVE_CITY_NOT_WORK_CITY,0.0009623598351839051,0.00033353417216905865
CNT_CHILDREN,0.0008782738399772579,0.00021527251658537113
NAME_EDUCATION_TYPE,0.0008588506297902088,0.0003170867991881447
CODE_GENDER,0.0003846582594813593,0.0001571941295086351
NAME_HOUSING_TYPE,0.00026717645522254715,0.00011049301289563302
EXT_SOURCE_3,0.00020436132095789095,0.00010162416574598696
FLAG_EMAIL,0.00019366973721094785,0.0001079215840436977
LIVE_REGION_NOT_WORK_REGION,0.00010616296762155919,5.17008139811954e-05
FLAG_WORK_PHONE,6.232264923672718e-05,3.7990342732983264e-05
FLAG_CONT_MOBILE,0.0,0.0
FLAG_EMP_PHONE,0.0,0.0
REG_REGION_NOT_WORK_REGION,0.0,0.0
REG_REGION_NOT_LIVE_REGION,0.0,0.0
FLAG_MOBIL,0.0,0.0
REG_CITY_NOT_LIVE_CITY,0.0,0.0
AMT_REQ_CREDIT_BUREAU_QRT,0.0,0.0
AMT_REQ_CREDIT_BUREAU_MON,0.0,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.0,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,0.0
AMT_REQ_CREDIT_BUREAU_YEAR,0.0,0.0
FLAG_DOCUMENT_18,0.0,0.0
FLAG_DOCUMENT_16,0.0,0.0
